Date,USD_Price,USD_Open,USD_High,USD_Low,Vol._x,USD_Change,Gold_Price,Gold_Open,Gold_High,Gold_Low,Vol._y,Gold_Change
2025-12-15,98.31,98.4,98.48,98.14,0.00K,-0.09%,4335.2,"4,330.00","4,384.30","4,315.90",212.28K,0.51%
2025-12-16,98.15,98.27,98.32,97.87,0.00K,-0.17%,4332.3,"4,334.30","4,367.90","4,297.40",212.41K,-0.07%
2025-12-17,98.37,98.21,98.64,98.18,0.00K,0.23%,4373.9,"4,333.50","4,383.60","4,330.70",234.46K,0.96%
2025-12-18,98.43,98.38,98.56,98.17,0.00K,0.06%,4364.5,"4,371.50","4,409.50","4,338.00",165.21K,-0.21%
2025-12-22,98.29,98.67,98.73,98.2,0.00K,-0.32%,4469.4,"4,369.90","4,484.50","4,367.90",248.42K,2.40%
2025-12-23,97.94,98.2,98.19,97.85,0.00K,-0.35%,4505.7,"4,481.80","4,530.80","4,457.70",150.13K,0.81%
2025-12-29,98.04,98.05,98.18,97.92,0.00K,0.02%,4327.0,"4,549.80","4,557.20","4,308.10",186.08K,-4.43%
2025-12-30,98.24,98.01,98.27,97.94,0.00K,0.21%,4386.3,"4,350.30","4,420.50","4,338.80",161.78K,1.37%
2026-01-02,98.42,98.24,98.49,98.14,,0.10%,4329.6,"4,340.00","4,414.80","4,319.70",154.81K,-0.73%
2026-01-05,98.27,98.48,98.86,98.25,,-0.16%,4451.5,"4,368.30","4,467.60","4,354.60",211.71K,2.82%
2026-01-06,98.58,98.41,98.63,98.16,,0.32%,4496.1,"4,459.80","4,508.30","4,437.90",176.58K,1.00%
2026-01-07,98.68,98.58,98.75,98.5,,0.11%,4462.5,"4,505.40","4,512.40","4,432.90",202.78K,-0.75%
2026-01-08,98.93,98.74,98.98,98.68,,0.25%,4460.7,"4,467.10","4,489.30","4,415.00",208.96K,-0.04%
2026-01-09,99.13,98.91,99.26,98.9,,0.20%,4500.9,"4,489.30","4,527.00","4,461.80",217.95K,0.90%
2026-01-12,98.86,99.17,99.25,98.67,,-0.27%,4614.7,"4,529.10","4,640.50","4,520.80",307.99K,2.53%
2026-01-13,99.13,98.9,99.23,98.85,,0.28%,4599.1,"4,610.00","4,644.00","4,576.70",267.45K,-0.34%
2026-01-14,99.13,99.19,99.25,98.93,,0.00%,4635.7,"4,594.30","4,650.50","4,594.30",306.30K,0.80%
2026-01-15,99.32,99.13,99.49,99.09,,0.19%,4623.7,"4,635.70","4,637.20","4,584.00",226.48K,-0.26%
2026-01-16,99.39,99.37,99.48,99.16,,0.07%,4595.4,"4,621.60","4,625.50","4,539.10",246.16K,-0.61%
2026-01-19,99.39,99.44,99.47,99.01,,0.00%,4671.15,"4,680.71","4,688.50","4,660.29",145.60K,-0.20%
2026-01-20,98.64,99.14,99.14,98.25,,-0.76%,4800.8,"4,661.00","4,806.00","4,659.50",56.62K,2.78%
2026-01-21,98.76,98.61,98.87,98.38,,0.12%,4873.1,"4,804.90","4,925.10","4,793.30",77.33K,1.51%
2026-01-22,98.36,98.79,98.83,98.26,,-0.41%,4949.4,"4,871.00","4,980.10","4,807.90",68.88K,1.57%
2026-01-23,97.6,98.33,98.48,97.43,,-0.77%,5017.0,"4,977.80","5,028.30","4,937.70",83.40K,1.37%
2026-01-26,97.04,97.03,97.33,96.81,,-0.57%,5102.4,"5,028.40","5,124.30","5,005.00",7.98K,1.70%
2026-01-27,96.22,97.05,97.29,95.55,,-0.85%,5101.4,"5,038.30","5,209.50","5,031.00",6.64K,-0.02%
2026-01-28,96.45,95.96,96.79,95.86,,0.24%,5321.0,"5,198.00","5,433.50","5,175.00",10.33K,4.30%
2026-01-29,96.28,96.16,96.66,96.02,,-0.17%,5354.8,"5,449.90","5,626.80","5,126.00",570.06K,0.64%
2026-01-30,96.99,96.17,97.15,96.17,,0.74%,4745.1,"5,410.00","5,480.20","4,700.40",508.00K,-11.39%
2026-02-02,97.63,97.18,97.73,97.01,,0.66%,4652.6,"4,816.00","4,905.60","4,423.20",385.98K,-1.95%
2026-02-03,97.44,97.52,97.69,97.3,,-0.20%,4935.0,"4,691.00","5,018.10","4,690.20",260.11K,6.07%
2026-02-04,97.62,97.43,97.73,97.31,,0.18%,4950.8,"4,966.10","5,113.90","4,867.70",245.96K,0.32%
2026-02-05,97.82,97.67,97.99,97.61,,0.21%,4889.5,"4,986.60","5,045.00","4,779.60",234.59K,-1.24%
2026-02-06,97.63,97.97,97.97,97.56,,-0.20%,4979.8,"4,800.00","4,995.60","4,670.00",177.81K,1.85%
2026-02-09,96.82,97.7,97.76,96.79,,-0.84%,5079.4,"5,003.60","5,111.10","4,988.60",124.15K,2.00%
2026-02-10,96.8,97.0,97.01,96.61,,-0.02%,5031.0,"5,084.30","5,102.70","5,011.00",105.66K,-0.95%
2026-02-11,96.83,96.91,97.27,96.49,,0.04%,5098.5,"5,048.00","5,144.50","5,036.30",129.97K,1.34%
2026-02-12,96.93,96.96,97.07,96.74,,0.09%,4948.4,"5,107.30","5,122.80","4,900.00",161.62K,-2.94%
2026-02-13,96.92,96.94,97.16,96.8,,-0.01%,5046.3,"4,950.00","5,069.10","4,907.10",123.02K,1.98%
2026-02-16,96.92,96.88,97.12,96.88,,0.00%,5010.11,"5,038.09","5,050.60","4,985.44",42.20K,-0.57%
2026-02-17,97.15,97.12,97.55,97.07,,0.25%,4905.9,"5,050.00","5,074.40","4,854.20",166.71K,-2.08%
2026-02-18,97.7,97.14,97.74,97.12,,0.56%,5009.5,"4,898.50","5,031.90","4,868.50",98.20K,2.11%
2026-02-19,97.93,97.73,98.07,97.57,,0.23%,4997.4,"4,993.70","5,042.80","4,971.50",87.03K,-0.24%
2026-02-20,97.8,97.9,98.08,97.59,,-0.13%,5080.9,"5,015.00","5,131.00","4,999.30",136.74K,1.67%
2026-02-23,97.71,97.7,97.85,97.36,,-0.09%,5207.5,"5,114.00","5,236.70","5,103.20",1.62K,2.49%
2026-02-24,97.84,97.7,97.99,97.69,,0.14%,5157.8,"5,243.40","5,250.00","5,091.80",1.51K,-0.95%
2026-02-25,97.7,97.85,98.0,97.62,,-0.15%,5208.0,"5,135.60","5,214.00","5,129.50",1.77K,0.97%
2026-02-26,97.79,97.59,97.98,97.49,,0.09%,5194.2,"5,175.30","5,221.90","5,144.80",131.63K,-0.26%
2026-02-27,97.61,97.75,97.85,97.56,,-0.19%,5247.9,"5,201.90","5,299.00","5,182.90",151.66K,1.03%
2026-03-02,98.38,97.87,98.75,97.77,,0.79%,5311.6,"5,360.00","5,434.10","5,272.90",227.84K,1.21%
2026-03-03,99.05,98.56,99.68,98.43,,0.68%,5123.7,"5,335.70","5,394.20","5,005.00",273.22K,-3.54%
2026-03-04,98.77,99.11,99.33,98.7,,-0.29%,5134.7,"5,110.00","5,218.30","5,092.80",146.89K,0.21%
2026-03-05,99.32,98.77,99.41,98.67,,0.55%,5078.7,"5,155.70","5,204.30","5,058.90",151.85K,-1.09%
2026-03-06,98.99,99.01,99.43,98.84,,-0.33%,5158.7,"5,099.70","5,185.00","5,071.00",160.27K,1.58%
2026-03-09,99.18,98.86,99.69,98.7,,0.19%,5103.7,"5,186.70","5,210.40","5,021.20",181.75K,-1.07%
2026-03-10,98.83,98.8,98.95,98.49,,-0.35%,5242.1,"5,152.40","5,248.70","5,127.10",179.58K,2.71%
2026-03-11,99.23,98.94,99.3,98.7,,0.41%,5179.1,"5,194.00","5,230.90","5,155.90",140.34K,-1.20%
2026-03-12,99.74,99.45,99.76,99.25,,0.51%,5125.8,"5,185.40","5,197.80","5,058.20",153.53K,-1.03%
2026-03-13,100.36,99.69,100.54,99.59,,0.62%,5061.7,"5,084.00","5,132.40","5,014.10",160.33K,-1.25%
2026-03-16,99.71,100.43,100.48,99.66,,-0.65%,5039.4,"5,049.30","5,082.00","5,009.50",32.01K,-0.44%
2026-03-17,99.57,99.86,100.11,99.5,,-0.14%,5045.6,"5,049.10","5,085.00","5,014.40",20.54K,0.12%
2026-03-18,100.09,99.55,100.31,99.46,,0.51%,4932.9,"5,046.60","5,058.40","4,846.60",47.59K,-2.23%
2026-03-19,99.23,100.23,100.31,98.97,,-0.85%,4640.5,"4,860.50","4,903.30","4,539.50",66.19K,-5.93%
2026-03-20,99.65,99.29,99.79,99.25,,0.42%,4609.6,"4,689.40","4,773.30","4,512.10",48.02K,-0.67%
2026-03-23,98.95,99.68,100.15,98.88,,-0.70%,4439.5,"4,495.00","4,569.70","4,128.50",125.53K,-3.69%
2026-03-24,99.31,99.17,99.45,99.1,,0.36%,4434.71,"4,475.35","4,480.71","4,340.00",24.74K,-0.11%
