"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2026","99.31","99.17","99.45","99.10","","0.36%"
"03/23/2026","98.95","99.68","100.15","98.88","","-0.70%"
"03/20/2026","99.65","99.29","99.79","99.25","","0.42%"
"03/19/2026","99.23","100.23","100.31","98.97","","-0.85%"
"03/18/2026","100.09","99.55","100.31","99.46","","0.51%"
"03/17/2026","99.57","99.86","100.11","99.50","","-0.14%"
"03/16/2026","99.71","100.43","100.48","99.66","","-0.65%"
"03/13/2026","100.36","99.69","100.54","99.59","","0.62%"
"03/12/2026","99.74","99.45","99.76","99.25","","0.51%"
"03/11/2026","99.23","98.94","99.30","98.70","","0.41%"
"03/10/2026","98.83","98.80","98.95","98.49","","-0.35%"
"03/09/2026","99.18","98.86","99.69","98.70","","0.19%"
"03/06/2026","98.99","99.01","99.43","98.84","","-0.33%"
"03/05/2026","99.32","98.77","99.41","98.67","","0.55%"
"03/04/2026","98.77","99.11","99.33","98.70","","-0.29%"
"03/03/2026","99.05","98.56","99.68","98.43","","0.68%"
"03/02/2026","98.38","97.87","98.75","97.77","","0.79%"
"02/27/2026","97.61","97.75","97.85","97.56","","-0.19%"
"02/26/2026","97.79","97.59","97.98","97.49","","0.09%"
"02/25/2026","97.70","97.85","98.00","97.62","","-0.15%"
"02/24/2026","97.84","97.70","97.99","97.69","","0.14%"
"02/23/2026","97.71","97.70","97.85","97.36","","-0.09%"
"02/20/2026","97.80","97.90","98.08","97.59","","-0.13%"
"02/19/2026","97.93","97.73","98.07","97.57","","0.23%"
"02/18/2026","97.70","97.14","97.74","97.12","","0.56%"
"02/17/2026","97.15","97.12","97.55","97.07","","0.25%"
"02/16/2026","96.92","96.88","97.12","96.88","","0.00%"
"02/13/2026","96.92","96.94","97.16","96.80","","-0.01%"
"02/12/2026","96.93","96.96","97.07","96.74","","0.09%"
"02/11/2026","96.83","96.91","97.27","96.49","","0.04%"
"02/10/2026","96.80","97.00","97.01","96.61","","-0.02%"
"02/09/2026","96.82","97.70","97.76","96.79","","-0.84%"
"02/06/2026","97.63","97.97","97.97","97.56","","-0.20%"
"02/05/2026","97.82","97.67","97.99","97.61","","0.21%"
"02/04/2026","97.62","97.43","97.73","97.31","","0.18%"
"02/03/2026","97.44","97.52","97.69","97.30","","-0.20%"
"02/02/2026","97.63","97.18","97.73","97.01","","0.66%"
"01/30/2026","96.99","96.17","97.15","96.17","","0.74%"
"01/29/2026","96.28","96.16","96.66","96.02","","-0.17%"
"01/28/2026","96.45","95.96","96.79","95.86","","0.24%"
"01/27/2026","96.22","97.05","97.29","95.55","","-0.85%"
"01/26/2026","97.04","97.03","97.33","96.81","","-0.57%"
"01/23/2026","97.60","98.33","98.48","97.43","","-0.77%"
"01/22/2026","98.36","98.79","98.83","98.26","","-0.41%"
"01/21/2026","98.76","98.61","98.87","98.38","","0.12%"
"01/20/2026","98.64","99.14","99.14","98.25","","-0.76%"
"01/19/2026","99.39","99.44","99.47","99.01","","0.00%"
"01/16/2026","99.39","99.37","99.48","99.16","","0.07%"
"01/15/2026","99.32","99.13","99.49","99.09","","0.19%"
"01/14/2026","99.13","99.19","99.25","98.93","","0.00%"
"01/13/2026","99.13","98.90","99.23","98.85","","0.28%"
"01/12/2026","98.86","99.17","99.25","98.67","","-0.27%"
"01/09/2026","99.13","98.91","99.26","98.90","","0.20%"
"01/08/2026","98.93","98.74","98.98","98.68","","0.25%"
"01/07/2026","98.68","98.58","98.75","98.50","","0.11%"
"01/06/2026","98.58","98.41","98.63","98.16","","0.32%"
"01/05/2026","98.27","98.48","98.86","98.25","","-0.16%"
"01/02/2026","98.42","98.24","98.49","98.14","","0.10%"
"12/31/2025","98.32","98.25","98.50","98.18","0.00K","0.09%"
"12/30/2025","98.24","98.01","98.27","97.94","0.00K","0.21%"
"12/29/2025","98.04","98.05","98.18","97.92","0.00K","0.02%"
"12/26/2025","98.02","97.92","98.13","97.86","","0.08%"
"12/24/2025","97.94","97.89","98.01","97.75","0.00K","0.00%"
"12/23/2025","97.94","98.20","98.19","97.85","0.00K","-0.35%"
"12/22/2025","98.29","98.67","98.73","98.20","0.00K","-0.32%"
"12/19/2025","98.60","98.46","98.75","98.42","","0.17%"
"12/18/2025","98.43","98.38","98.56","98.17","0.00K","0.06%"
"12/17/2025","98.37","98.21","98.64","98.18","0.00K","0.23%"
"12/16/2025","98.15","98.27","98.32","97.87","0.00K","-0.17%"
"12/15/2025","98.31","98.40","98.48","98.14","0.00K","-0.09%"